dest,crs_arr_hour,crs_arr_time,mean_hourly_dest_delay
ABY,19,1956.0645161290322,13.672131147540984
ABY,20,2017.719298245614,3.807017543859649
ABY,21,2119.672727272727,8.590909090909092
ABY,22,2216.8299180327867,11.123711340206185
ACK,7,718.6590909090909,17.931818181818183
ACK,8,821.6170212765958,7.138297872340425
ACK,9,928.9206349206349,3.3936507936507936
ACK,10,1035.4252336448599,7.672897196261682
ACK,11,1131.7908847184985,9.855227882037534
ACK,12,1225.268115942029,0.5507246376811594
ACK,13,1325.2670807453417,3.73125
ACK,14,1426.7635327635328,4.9743589743589745
ACK,15,1538.3684210526317,-10.736842105263158
ACK,16,1630.4036363636365,11.072727272727272
ACK,17,1723.9253731343283,18.41044776119403
ACK,18,1833.7692307692307,6.384615384615385
ACK,19,1946.826923076923,39.34615384615385
ACK,20,2035.0,40.57142857142857
ACK,21,2104.0,36.31884057971015
ACT,8,810.0,0.0
ACT,9,946.2129963898917,-1.7509025270758123
ACT,10,1006.7029972752043,-1.0790190735694822
ACT,11,1134.642857142857,14.619047619047619
ACT,12,1223.7033898305085,-1.3559322033898304
ACT,13,1317.962703962704,1.2494172494172495
ACT,15,1527.0,18.40909090909091
ACT,16,1623.8896103896104,5.383116883116883
ACT,17,1745.921568627451,4.0
ACT,18,1817.349358974359,6.1298076923076925
ACT,19,1918.421052631579,3.210526315789474
ACT,21,2127.232044198895,7.3259668508287294
ACT,22,2249.63,6.91
ACT,23,2306.7725225225226,5.716216216216216
ACV,0,1.0,24.017241379310345
ACV,9,952.9047619047619,15.047619047619047
ACV,10,1029.8626430801248,8.730489073881374
ACV,11,1105.1666666666667,27.952380952380953
ACV,12,1207.982456140351,6.456140350877193
ACV,14,1428.4444444444443,17.555555555555557
ACV,15,1542.7755102040817,8.489795918367347
ACV,16,1627.0,-0.07692307692307693
ACV,17,1727.8040201005026,7.902847571189279
ACV,18,1844.0,40.3
ACV,19,1927.2387096774194,2.6516129032258067
ACV,20,2024.0394736842106,15.62719298245614
ACV,21,2122.3031026252984,13.088305489260144
ACV,22,2227.855670103093,-14.072164948453608
ACV,23,2357.6438356164385,19.019569471624266
ACY,0,17.094488188976378,2.1181102362204722
ACY,9,943.5643564356436,-3.6732673267326734
ACY,10,1005.0,5.105263157894737
ACY,11,1143.5724233983287,-2.5752089136490253
ACY,12,1214.390557939914,-3.8941344778254647
ACY,13,1337.8660714285713,3.919642857142857
ACY,14,1446.2631578947369,-7.5
ACY,15,1533.3333333333333,8.0
ACY,16,1643.9713656387664,-3.0726872246696035
ACY,17,1721.8242774566475,16.839306358381503
ACY,18,1838.2307692307693,24.628205128205128
ACY,19,1915.189393939394,1.6515151515151516
ACY,20,2042.0731707317073,2.8048780487804876
ACY,21,2124.6564299424185,15.644913627639156
ACY,22,2242.5594639865994,17.79396984924623
ACY,23,2337.018450184502,8.595571955719556
ADK,15,1548.8181818181818,-1.303030303030303
ADK,16,1631.44578313253,-9.27710843373494
ADQ,6,657.7755102040817,-4.061224489795919
ADQ,7,708.9198312236286,-1.3734177215189873
ADQ,15,1540.0,3.0303030303030303
ADQ,16,1616.603448275862,-0.3072100313479624
AEX,0,35.0,25.0
AEX,8,824.0,-18.0
AEX,9,951.9352331606218,-1.432642487046632
