date,delay,origin_city_name,dest_city_name,origin_weather,dest_weather
2019-08-09,-11.0,"San Diego, CA","Monterey, CA",Partially cloudy,Clear
2018-09-29,-7.0,"Salt Lake City, UT","Denver, CO",Partially cloudy,Partially cloudy
2019-11-02,-19.0,"Houston, TX","Charlotte, NC",Clear,Clear
2019-01-01,-8.0,"Dallas-Fort Worth, TX","Tyler, TX",Partially cloudy,"Rain, Partially cloudy"
2019-06-22,21.0,"St. Louis, MO","Charleston, SC","Rain, Partially cloudy","Rain, Partially cloudy"
2018-07-31,5.0,"Burlington, VT","New York, NY","Rain, Partially cloudy",Partially cloudy
2018-08-06,-17.0,"Newark, NJ","Cleveland, OH",Partially cloudy,"Rain, Partially cloudy"
2018-09-18,-5.0,"Boston, MA","Austin, TX","Rain, Overcast",Clear
2019-01-20,-19.0,"San Antonio, TX","Oakland, CA",Clear,"Rain, Partially cloudy"
2018-04-14,15.0,"Orlando, FL","Louisville, KY",Partially cloudy,"Rain, Partially cloudy"
2019-03-05,-23.0,"New York, NY","Buffalo, NY",Clear,Partially cloudy
2018-06-04,83.0,"Syracuse, NY","Washington, DC","Rain, Overcast",Partially cloudy
2019-08-10,-24.0,"Des Moines, IA","Atlanta, GA",Partially cloudy,"Rain, Partially cloudy"
2018-08-28,-3.0,"Midland-Odessa, TX","Houston, TX",Clear,"Rain, Partially cloudy"
2018-09-05,-8.0,"Minneapolis, MN","Louisville, KY","Rain, Partially cloudy",Partially cloudy
2018-12-22,-24.0,"New York, NY","St. Louis, MO","Rain, Partially cloudy",Clear
2018-07-27,9.0,"Savannah, GA","Boston, MA","Rain, Partially cloudy","Rain, Partially cloudy"
2018-01-12,-21.0,"Phoenix, AZ","Chicago, IL",Clear,Overcast
2018-04-08,18.0,"Newark, NJ","Fort Wayne, IN",Partially cloudy,Partially cloudy
2018-04-12,-18.0,"Atlanta, GA","Dallas-Fort Worth, TX",Partially cloudy,Clear
2018-08-24,17.0,"Phoenix, AZ","San Francisco, CA","Rain, Partially cloudy",Partially cloudy
2019-06-30,38.0,"Lexington, KY","Washington, DC",Partially cloudy,"Rain, Partially cloudy"
2018-09-24,21.0,"St. Louis, MO","Charlotte, NC","Rain, Overcast",Overcast
2019-08-18,-19.0,"San Francisco, CA","Orlando, FL",Partially cloudy,"Rain, Partially cloudy"
2019-10-07,-31.0,"Minneapolis, MN","Dayton, OH",Clear,"Rain, Partially cloudy"
2018-08-16,-14.0,"Salt Lake City, UT","San Antonio, TX",Partially cloudy,Partially cloudy
2019-11-29,-7.0,"Chicago, IL","South Bend, IN","Rain, Partially cloudy",Overcast
2018-04-11,-6.0,"Salt Lake City, UT","Spokane, WA",Partially cloudy,"Rain, Partially cloudy"
2018-08-24,26.0,"Detroit, MI","Newark, NJ",Partially cloudy,Rain
2019-01-08,11.0,"New York, NY","San Francisco, CA","Rain, Partially cloudy",Partially cloudy
2018-04-19,-5.0,"Minneapolis, MN","Spokane, WA",Clear,Clear
2018-12-11,-16.0,"New York, NY","Washington, DC",Rain,Clear
2019-03-21,-1.0,"Greensboro-High Point, NC","Atlanta, GA","Rain, Partially cloudy",Partially cloudy
2019-12-02,-27.0,"Detroit, MI","St. Louis, MO","Rain, Partially cloudy",Partially cloudy
2019-09-02,-18.0,"San Francisco, CA","Burbank, CA",Partially cloudy,Clear
2019-03-24,-8.0,"Charlotte, NC","Providence, RI",Partially cloudy,Partially cloudy
2019-06-11,6.0,"Seattle, WA","San Jose, CA",Clear,Partially cloudy
2018-04-29,-12.0,"Spokane, WA","Denver, CO","Rain, Partially cloudy",Partially cloudy
2019-07-17,-10.0,"Atlanta, GA","Knoxville, TN","Rain, Partially cloudy","Rain, Partially cloudy"
2019-04-30,-21.0,"Chicago, IL","Staunton, VA","Rain, Overcast",Clear
2018-11-03,-8.0,"Atlanta, GA","Salt Lake City, UT",Clear,Partially cloudy
2018-12-30,10.0,"Albuquerque, NM","New York, NY",Clear,Partially cloudy
2018-03-20,-11.0,"Tampa, FL","Fort Lauderdale, FL","Rain, Partially cloudy",Partially cloudy
2018-04-03,6.0,"Salt Lake City, UT","Los Angeles, CA",Partially cloudy,Partially cloudy
2019-04-23,28.0,"Fort Lauderdale, FL","Atlanta, GA",Partially cloudy,Partially cloudy
2019-01-14,-23.0,"Bellingham, WA","Kahului, HI",Clear,Partially cloudy
2019-12-16,-12.0,"New York, NY","Atlanta, GA","Rain, Partially cloudy","Rain, Partially cloudy"
2019-05-22,-25.0,"Cincinnati, OH","Washington, DC","Rain, Partially cloudy",Partially cloudy
2019-11-12,4.0,"Cedar Rapids-Iowa City, IA","Chicago, IL",Clear,Clear
2018-04-23,-13.0,"Philadelphia, PA","Burlington, VT",Partially cloudy,Clear
2019-03-03,10.0,"Charlotte, NC","West Palm Beach-Palm Beach, FL","Rain, Overcast",Partially cloudy
2018-04-06,12.0,"Philadelphia, PA","Providence, RI","Rain, Partially cloudy","Rain, Partially cloudy"
2019-04-15,-9.0,"New York, NY","Washington, DC","Rain, Partially cloudy","Rain, Partially cloudy"
2019-02-08,-11.0,"Philadelphia, PA","Richmond, VA","Rain, Partially cloudy",Partially cloudy
2019-08-23,-16.0,"Washington, DC","Greensboro-High Point, NC","Rain, Partially cloudy","Rain, Partially cloudy"
2019-11-22,-12.0,"Kansas City, MO","Fort Lauderdale, FL",Partially cloudy,Partially cloudy
2019-01-20,-34.0,"Bismarck-Mandan, ND","Minneapolis, MN","Snow, Overcast",Clear
2019-06-07,144.0,"San Diego, CA","Phoenix, AZ",Overcast,Partially cloudy
2019-01-18,14.0,"San Francisco, CA","Salt Lake City, UT",Partially cloudy,"Snow, Partially cloudy"
2018-12-21,-12.0,"Washington, DC","Houston, TX","Rain, Overcast",Clear
2018-06-18,7.0,"Austin, TX","Raleigh-Durham, NC","Rain, Partially cloudy","Rain, Partially cloudy"
2018-12-03,-15.0,"Austin, TX","Minneapolis, MN",Partially cloudy,Overcast
2018-10-20,-4.0,"Chicago, IL","Washington, DC",Partially cloudy,"Rain, Partially cloudy"
2019-08-12,5.0,"Denver, CO","Seattle, WA",Partially cloudy,Partially cloudy
2019-07-04,-29.0,"Moline, IL","Minneapolis, MN",Rain,"Rain, Partially cloudy"
2019-07-31,-25.0,"Chicago, IL","Ogdensburg, NY",Partially cloudy,Clear
2019-12-16,-25.0,"Wichita, KS","Chicago, IL","Snow, Partially cloudy",Partially cloudy
2018-11-28,1.0,"Charleston, SC","Dallas-Fort Worth, TX",Rain,Clear
2019-07-16,-11.0,"Atlanta, GA","Tampa, FL",Clear,"Rain, Partially cloudy"
2018-06-25,1.0,"Lexington, KY","Detroit, MI","Rain, Partially cloudy",Clear
2019-03-31,-22.0,"Jamestown, ND","Devils Lake, ND",Partially cloudy,Partially cloudy
2018-08-22,18.0,"San Diego, CA","Las Vegas, NV",Partially cloudy,Clear
2019-02-18,-21.0,"Phoenix, AZ","San Diego, CA","Rain, Partially cloudy","Rain, Partially cloudy"
